year,city,country,avg_temp
1942,Hyderabad,Pakistan,27.00
1943,Hyderabad,Pakistan,26.89
1944,Hyderabad,Pakistan,26.57
1945,Hyderabad,Pakistan,26.29
1946,Hyderabad,Pakistan,26.66
1947,Hyderabad,Pakistan,27.08
1948,Hyderabad,Pakistan,26.94
1949,Hyderabad,Pakistan,26.69
1950,Hyderabad,Pakistan,26.01
1951,Hyderabad,Pakistan,26.95
1952,Hyderabad,Pakistan,26.96
1953,Hyderabad,Pakistan,27.34
1954,Hyderabad,Pakistan,26.91
1955,Hyderabad,Pakistan,26.74
1956,Hyderabad,Pakistan,26.25
1957,Hyderabad,Pakistan,26.43
1958,Hyderabad,Pakistan,27.51
1959,Hyderabad,Pakistan,26.85
1960,Hyderabad,Pakistan,26.77
1961,Hyderabad,Pakistan,26.31
1962,Hyderabad,Pakistan,26.77
1963,Hyderabad,Pakistan,27.32
1964,Hyderabad,Pakistan,26.49
1965,Hyderabad,Pakistan,26.75
1966,Hyderabad,Pakistan,26.60
1967,Hyderabad,Pakistan,26.46
1968,Hyderabad,Pakistan,26.53
1969,Hyderabad,Pakistan,27.19
1970,Hyderabad,Pakistan,26.99
1971,Hyderabad,Pakistan,26.89
1972,Hyderabad,Pakistan,26.68
1973,Hyderabad,Pakistan,26.88
1974,Hyderabad,Pakistan,26.82
1975,Hyderabad,Pakistan,26.49
1976,Hyderabad,Pakistan,26.75
1977,Hyderabad,Pakistan,27.42
1978,Hyderabad,Pakistan,26.76
1979,Hyderabad,Pakistan,26.89
1980,Hyderabad,Pakistan,27.28
1981,Hyderabad,Pakistan,27.20
1982,Hyderabad,Pakistan,26.89
1983,Hyderabad,Pakistan,26.61
1984,Hyderabad,Pakistan,26.49
1985,Hyderabad,Pakistan,27.06
1986,Hyderabad,Pakistan,26.88
1987,Hyderabad,Pakistan,27.72
1988,Hyderabad,Pakistan,27.83
1989,Hyderabad,Pakistan,26.71
1990,Hyderabad,Pakistan,27.00
1991,Hyderabad,Pakistan,26.98
1992,Hyderabad,Pakistan,26.91
1993,Hyderabad,Pakistan,27.72
1994,Hyderabad,Pakistan,26.87
1995,Hyderabad,Pakistan,27.11
1996,Hyderabad,Pakistan,27.17
1997,Hyderabad,Pakistan,26.82
1998,Hyderabad,Pakistan,27.89
